" The customer doesn\'t exist in the system anymore"," 该客户已不存在"
" and "," 以及 "
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Magento安装根目录，例如 var/export)"
"(For US 2-letter state names)","(2个字母的省份名(适用于美国))"
"(If left empty will be auto-generated)","(如果留空将自动生成)"
"(Leave empty for first spreadsheet)","(留空为第一个电子表)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(如果导入文件中'商店'栏目为空或者缺少，商品将被增加/更新到该商店。)"
"(Shift-)Click or drag to change value","(Shift-)单击或者拖动以变更取值"
"(Starting with)","(开头)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（修改该值之前您必须先增加 php 的 memory_limit 设置值）"
"(\\t for tab)","(\\t 为制表符)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - 将终止已有的索引进程并启动新的索引进程。"
"- Click on any of the time parts to increase it","- 点击时间任意部分可以使其递增"
"- Hold mouse button on any of the above buttons for faster selection.","- 在上述按钮上长按鼠标以快速选择"
"- Use the %s buttons to select month","- 使用 %s 按钮选择月份"
"- Use the %s, %s buttons to select year","- 使用 %s, %s 按钮选择年份"
"- or Shift-click to decrease it","- 或者按住 Shift 并点击使其递减"
"- or click and drag for faster selection.","- 或者点击并拖动以快速选择。"
"-- Please Select --","-- 请选择 --"
"-- Please select --","-- 请选择 --"
"-- Please select a category --","-- 请选择分类 --"
"--Please Select--","--请选择--"
"1 Hour","1小时"
"12 Hours","12小时"
"12h AM/PM","12小时 AM/PM"
"2 Hours","2小时"
"24 Hours","24小时"
"24h","24小时"
"2YTD","去年开始"
"6 Hours","6 小时"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 错误</h1><p>没找到页面。</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","一个新的密码已经发送到您的电子邮件。请查收您的电子邮件然后回到登陆页面"
"API Stability","API 稳定性"
"API Version","API 版本"
"API:","API:"
"About the calendar","关于本日历"
"Access Denied.","访问被拒绝。"
"Access Deny","拒绝访问"
"Access denied","拒绝访问"
"Access denied.","拒绝访问."
"Account Created in:","帐号创建于："
"Account Created on (%s):","帐号创建于 (%s):"
"Account Created on:","帐号创建日期："
"Account Information","帐号信息"
"Account status","帐号状态"
"Account successfully saved","成功保存帐号"
"Action","操作"
"Actions","操作"
"Actions XML","操作 XML"
"Active","激活"
"Add","增加"
"Add Contents Path","添加内容路径"
"Add Exception","添加例外"
"Add Field Mapping","添加字段映射"
"Add Field with URL:","增加网址栏："
"Add Gift Card","添加礼品卡"
"Add Maintainer","添加维护人员"
"Add New Image","增加新的图像"
"Add New Profile","增加新的配置文件"
"Add New Role","增加新的角色"
"Add New Template","增加新的模板"
"Add New URL Rewrite","增加新的网址重写"
"Add New User","增加新用户"
"Add New osCommerce Profile","增加新的osCommerce配置文件"
"Add PHP Extension dependency","添加 PHP扩展依赖"
"Add Package dependency","添加安装包依赖"
"Add Subpackage dependency","添加子安装包依赖"
"Add URL Rewrite","添加网址重写"
"Add URL Rewrite for a Category","添加分类网址重写"
"Add URL Rewrite for a Product","添加商品网址重写"
"Add after","在此后添加"
"Add new Role","增加新的角色"
"Add new store view map","增加新的网店浏览图"
"Address Type:","地址类型："
"Admin","管理员"
"Advanced Admin Section","高级管理员单元"
"Advanced Profiles","高级配置文件"
"Advanced Section","高级单元"
"Aggregate Order","累计订单"
"All","所有"
"All Allowed Countries","所有允许国家"
"All Cache","所有缓存"
"All Files","所有文件"
"All Store Views","所有商店界面"
"All Tags","所有标签"
"All Websites","所有网站"
"All countries","所有国家"
"All fields","所有栏目"
"All possible rates were fetched, click on ""Save"" to apply","已获取所有可能的汇率，点击""保存""接受"
"All rates were fetched, click on ""Save"" to apply","已获取所有汇率，点击""保存""接受"
"All valid rates successfully saved","成功保存所有有效的汇率"
"Amounts","金额"
"Any","任意"
"Any Attribute Set","任意属性集"
"Any Group","任意分组"
"Any Status","任意状态"
"Any Store","任意商店"
"Any Type","任意类型"
"Any Visibility","任意可见性"
"Api Key","Api 密钥"
"Api Key Confirmation","Api 密钥确认"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您确认要删除该模板吗？"
"Are you sure that you want to strip tags?","您确认要删除标签吗？"
"Are you sure you want to do this?","您确认要这么做吗？"
"Are you sure you wish to INSTALL all selected packages?","您确认要安装所有选择的包吗？"
"Are you sure you wish to UNINSTALL all selected packages?","您确认要卸载所有选择的包吗？"
"Are you sure you wish to UPGRADE all selected packages?","您确认要升级所有选择的包吗？"
"Area","区域"
"Assigned","指定"
"Attribute Set Name:","属性集名称："
"Attribute set successfully saved.","成功保存属性集。"
"Attribute set was successfully removed.","成功删除属性集。"
"Attributes","属性"
"Available Products","可用商品"
"Available Version","可用版本"
"Average Order Amount","平均订单金额"
"Average Orders","平均订单金额"
"Back","返回"
"Back to Login","返回登录"
"Back to local packages","返回本地包"
"Backup","备份"
"Backup record was deleted","备份记录已删除"
"Backup successfully created","成功备份"
"Backups","备份"
"Base currency","基准货币"
"Bcc","暗送"
"Bestsellers","畅销商品"
"Big Image","大图片"
"Billing Address","账单地址"
"Billing address","账单地址"
"Block Information","方框信息"
"Both (without and with tax)","同时 (无论是否含税)"
"Browse Available Extensions","浏览可用插件"
"Browse Available Remote Extensions","浏览可用的远程插件"
"Browse Files...","浏览文件..."
"Bundle Items","包裹物品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"CRITICAL","重要"
"CSV","CSV"
"CSV / Tab separated","CSV/Tab 分割"
"Cache Control","缓存管理"
"Cache Control (beta)","缓存管理 (beta)"
"Cache Management","缓存管理"
"Can not add new comment.","无法添加新评论"
"Can not add tracking number.","无法添加新运单号"
"Can not delete tracking number.","无法删除运单号"
"Can not do credit memo for order","无法为此订单创建退款记录"
"Can not do invoice for order","无法为此订单做单据"
"Can not do shipment for order separate from invoice.","无法单独根据发票为订单生成运输"
"Can not do shipment for order.","无法为此订单做运输"
"Can not initialize shipment for adding tracking number.","无法为增加订单号生成运输"
"Can not initialize shipment for delete tracking number.","无法为删除订单号生成运输"
"Can not load track with retrieving identifier.","无法使用获得的标志符加载跟踪记录"
"Can not retrieve tracking number detail.","无法获取订单号详细资料"
"Can not save credit memo","无法保存退款记录"
"Can not save invoice","无法保存单据"
"Can not save shipment.","无法保存运输"
"Can not send shipment information.","无法发送运输资料"
"Can not update item qty","无法更新物品数量"
"Can't delete design change","无法删除设计修改"
"Can\'t find email address.","没有找到邮件地址。"
"Cancel","取消"
"Card Verification Number","信用卡校验码"
"Catalog","目录"
"Catalog Index rebuild error. Please try again later","目录索引重建错误，请稍后再试"
"Catalog Index was rebuilt successfully","成功重建目录索引"
"Catalog Rewrites","目录重写"
"Catalog Rewrites was refreshed successfully","成功刷新目录重写记录"
"Catalog Rewrites were refreshed successfully","成功刷新目录重写记录"
"CatalogInventory Stock Status rebuild error. Please try again later","目录库存状态数据重建错误，请稍后重试"
"CatalogInventory Stock Status was rebuilt successfully","成功重建目录库存状态数据"
"Category","分类"
"Category:","分类："
"Changelog","修改日志"
"Channel","频道"
"Channel:","频道："
"Checkbox","复选框"
"Choose Store View","查看商店界面"
"Choose an attribute","选择属性"
"Clear","清除"
"Close","关闭"
"Comment text field can not be empty.","评论框不能为空白"
"Comments History","评论记录"
"Complete","完成"
"Configuration","设置"
"Configuration successfully saved","成功保存设置"
"Confirmed email:","已验证的邮件："
"Conflicts","冲突"
"Connect with the Magento Community","Magento中文社区"
"Content","内容"
"Contents","内容"
"Convert to Plain Text","转换为文字"
"Cookie (Unsafe)","Cookie (不安全)"
"Country","国家"
"Country:","国家："
"Coupon Code","优惠券代码"
"Coupons","优惠价"
"Create","创建"
"Create DB Backup","创建数据库备份"
"Create Extension Package","创建插件包"
"Create New Attribute","创建新的属性"
"Create New Staging Store View","创建新的分期店铺查看"
"Create URL Rewrite:","创建网址重写"
"Create a backup","创建备份"
"Created At","创建于"
"Credit Card Number","信用卡号"
"Credit Card Number: xxxx-%s","信用卡号：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Memo #%s comment added","退款记录 #%s 备注已添加"
"Credit Memo #%s created","退款记录 #%s 已创建"
"Credit Memo History","退款记录历史"
"Credit Memo Totals","退款记录总计"
"Credit Memo cancel error.","退款记录取消有误"
"Credit Memo total must be positive.","退款记录总额必须为正数"
"Credit Memo void error","将退款记录作废有误"
"Credit Memo was successfully canceled.","成功取消退款记录"
"Credit Memo was successfully created","成功创建退款记录"
"Credit Memo was successfully voided","成功将退款记录作废"
"Currency","货币"
"Currency Information","货币信息"
"Currency Setup Section","货币设置单元"
"Current Configuration Scope:","当前设置范围："
"Current Release Information","当前版本信息"
"Custom","定制"
"Customer","客户"
"Customer Group:","客户分组："
"Customer Name","客户姓名"
"Customer Since:","注册日期："
"Customer was deleted","客户已删除"
"Customer was successfully saved","成功保存客户"
"Customer with the same email already exists.","已有相同邮件地址的客户。"
"Customers","客户"
"DHTML Date/Time Selector","动态 HTML 日期/时间选择器"
"Dashboard","控制台"
"Data Format","数据格式"
"Data transfer:","数据传送："
"Date","日期"
"Date & Time","日期和时间"
"Date Added","增加日期"
"Date Updated","更新日期"
"Date selection:","日期选择："
"Date selector","选择日期"
"Date:","日期："
"Day","天"
"Decimal separator:","小数分隔符:"
"Default (Admin) Values","缺省(管理)值"
"Default Config","缺省设置"
"Default Template from Locale","界面的缺省模版"
"Default Values","缺省值"
"Default display currency ""%s"" is not available in allowed currencies","默认显示货币 ""%s"" 不在允许货币列表中"
"Default scope","缺省范围"
"Delete","删除"
"Delete %s","删除 %s"
"Delete %s '%s'","删除 %s '%s'"
"Delete Profile","删除配置文件"
"Delete Role","删除角色"
"Delete Store View","删除商店界面"
"Delete Template","删除模板"
"Delete User","删除用户"
"Delete Website","删除网站"
"Dependencies","前提条件"
"Description","简介"
"Description:","简介："
"Design","设计"
"Design Section","设计单元"
"Design change deleted","设计修改已删除"
"Design change saved","设计修改已保存"
"Developer Section","程序员单元"
"Direction:","方向："
"Disable","禁用"
"Disabled","禁用"
"Discount Amount","优惠金额"
"Display %s first","将 %s 显示在第一列"
"Display default currency","显示缺省货币"
"Distributed under GNU LGPL. See %s for details.","使用 GNU LGPL 分发，详情请访问 %s ."
"Do you really want to KILL parallel process and start new indexing process?","您真的要终止平行进程并启动新的索引进程吗？"
"Done By:","完成于："
"Done by:","完成于："
"Download Remote File","下载远程文件"
"Download and Install","下载并安装"
"Downloading and installing $pkg, please wait...","正在下载和安装$pkg，请稍候..."
"Drag to move","窗口可拖动"
"Drop-down","下拉"
"Edit","修改"
"Edit Email Template","修改邮件模板"
"Edit Poll","修改投票"
"Edit Role","修改角色"
"Edit Store View","修改商店界面"
"Edit System Template","修改系统模板"
"Edit Tag","修改标签"
"Edit Template","修改模板"
"Edit URL Rewrite","修改网址重写"
"Edit User","修改用户"
"Edit User '%s'","修改用户'%s'"
"Edit Website","修改网址"
"Email","电子邮件"
"Email Address:","电子邮件："
"Email Preview","预览电子邮件"
"Email address is empty.","电子邮件地址为空。"
"Email to a Friend","发邮件给朋友"
"Email:","电子邮件："
"Enable","启用"
"Enabled","启用"
"Enclose Values In:","包括值："
"Entity Type","实体类型"
"Entity type:","实体类型："
"Error uploading the file","上传文件错误"
"Error while cleared Image cache. Please try again later","生成图像缓存出错，请稍后再试。"
"Error while create backup. Please try again later","生成备份出错，请稍后再试。"
"Error while deleting this role. Please try again later.","删除角色错误，请稍后再试。"
"Error while deleting this set.","删除出错。"
"Error while deleting this template. Please try again later.","删除模板时出错，请稍后重试."
"Error while finished process. Please refresh cache","完成处理出错，请刷新缓存。"
"Error while refreshed Catalog Rewrites. Please try again later","刷新目录重写出错，请稍后再试。"
"Error while refreshed Layered Navigation Indices. Please try again later","刷新层次导航索引出错，请稍后再试。"
"Error while saving account. Please　check all required fields","保存帐户出错，请检查是否完成所有必选项目"
"Error while saving account. Please try again later","保存账户出错，请稍后重试"
"Error while saving this configuration: ","保存设置出错："
"Error while saving this role. Please try again later.","保存角色出错，请稍后再试."
"Error while saving this template. Please try again later.","保存模板时出错，请稍后重试."
"Error while updating selected review(s). Please try again later.","更新选择的评论出错，请稍后再试."
"Excl. Tax","不含税"
"Exclude","不含"
"Exclude (comma separated)","不含(逗号分开)"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期：%s/%s"
"Export","导出"
"Export CSV","导出 CSV"
"Export Filters","导出条件"
"Export to:","导出到："
"Export:","导出："
"Extension","扩展名"
"Extension Name","扩展名"
"Extensions","扩展名"
"FTP Host[:Port]","FTP 主机[:端口]"
"Failed to add a product to cart by id ""%s""","按序号 ""%s"" 添加商品到购物车失败"
"Failed to load %1$s.xml or %1$s.ser","加载 %1$s.xml 或 %1$s.ser 失败"
"Field","字段"
"Field Mapping","字段映射"
"File","文件"
"File Information","文件信息"
"File name:","文件名："
"File size should be more than 0 bytes","文件要大于0字节"
"Final Price","最终价格"
"Finished profile execution.","完成运行配置文件。"
"First Name","名字"
"First Name:","名字："
"Firstname","名字"
"Fixed","固定"
"Flat Catalog Category rebuild error","重建平面目录分类时出错"
"Flat Catalog Category was rebuilt successfully","成功重建平面目录类别"
"Flat Catalog Product rebuild error. Please try again later","重建平面目录产品出错，请稍后重试"
"Flat Catalog Product was rebuilt successfully","成功重建平面目录产品"
"Folder","文件夹"
"For category","用于分类"
"For latest version visit: %s","要了解最新版本信息，请访问: %s"
"For product","用于商品"
"Forgot your password?","忘记您的密码了？"
"Forgot your user name or password?","忘记您的用户名或密码了？"
"From","从"
"Gb","Gb"
"General Information","基本信息"
"General Section","基本单元"
"Get Image Base64","获取图片 Base64"
"Get help for this page","查看本页面的帮助"
"Global Attribute","全局属性"
"Global Record Search","全店记录搜索"
"Global Search","全站搜索"
"Go Today","转至当前日期"

"Google Base","Google Base"
"Google Base Items","Google Base 记录"
"Grand Total","金额"
"Grid (default) / List","多栏(缺省)/单栏"
"Grid only","仅多栏"
"Group:","分组："
"Guest","访客"
"HTTP (unsecure)","HTTP (不安全)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","协助我们完善Magento - 报告所有错误"
"Home","首页"
"ID","编号"
"ID Path","编号路径"
"IP Address","IP 地址"
"If this message persists, please contact the store owner.","如果此问题持续存在，请联系店铺经营者."
"Ignore","忽略"
"Image cache was cleared successfully","成功清除图片缓存"
"Images","图片"
"Images (.gif, .jpg, .png)","图片 (.gif, .jpg, .png)"
"Images Cache","图片缓存"
"Import","导入"
"Import Service","导入服务"
"Import/Export","导入/导出"
"Import/Export Advanced","高级导入/导出"
"Import/Export Profile","导入/导出配置文件"
"Imported <strong>%s</strong> records","导入<strong>%s</strong>个记录"
"In","货币"
"In Database:","在数据库："
"In File:","在文件："
"Inactive","禁用"
"Incl. Tax","含税"
"Include","含"
"Incoming Message","收到的消息"
"Individual Item","单件商品"
"Install","安装"
"Install Package File","安装打包文件"
"Installed As","安装为"
"Installed Extension Info","已安装插件的信息"
"Installed Version","已安装版本"
"Installing $pkg, please wait...","正在安装$pkg，请稍候..."
"Installing selected packages, please wait...","正在安装所选包，请稍候..."
"Instant Payment Notification (IPN)","及时付款通知 (IPN)"
"Interactive","交互式"
"Interface Locale: %s","界面语言：%s"
"Invalid Form Key","Form Key不正确"
"Invalid Import Service Specified","指定的导入服务不正确"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","POST 数据不正确（请检查 php.ini 中 post_max_size 和 upload_max_filesize 设置）"
"Invalid Secret Key. Please refresh the page.","无效密钥，请刷新本页."
"Invalid URL","网址不正确"
"Invalid Username or Password.","用户名或密码不正确。"
"Invalid directory: %s","目录不正确：%s"
"Invalid email address ""%s""","无效电子邮箱地址 ""%s"""
"Invalid file: %s","文件不正确：%s"
"Invalid input data for %s => %s rate","输入的 %s => %s 比率数据不正确"
"Invalid input:","输入不正确："
"Invalid parrent block for this block","此方框的父母方框错误"
"Invalid section value","单元值不正确"
"Invalid sender name ""%s""","无效发送名 ""%s"""
"Invalid store value","商店值不正确"
"Invalid website value","网址值不正确"
"Inventory Stock Status","库存状态"
"Invoice #%s comment added","发票%s增加了新备注"
"Invoice #%s created","生成发票%s"
"Invoice History","发票记录"
"Invoice Totals","发票总计"
"Invoice and shipment was successfully created.","成功建立了单据和运输"
"Invoice cancel error.","发票取消出现错误"
"Invoice capture error","发票自动生成出现错误"
"Invoice void error","将发票作废出现错误"
"Invoice was successfully canceled.","成功取消发票"
"Invoice was successfully captured","成功生成发票"
"Invoice was successfully created.","成功创建发票"
"Invoice was successfully voided","成功将发票作废"
"Issue Number","发行号码"
"Issuer: %s","发行者: %s"
"Items","件数"
"Kb","字节"
"Last 24 hours","最近24小时"
"Last 5 Orders","最近5个订单"
"Last 5 Search Terms","最近5个搜索关键词"
"Last 7 days","最近7天"
"Last Logged In (%s):","上次登录时间 (%s):"
"Last Logged In:","最近登录："
"Last Month","最近1个月"
"Last Name","姓氏"
"Last Name:","姓氏："
"Lastname","姓氏"
"Latest Message:","最新消息："
"Layered Navigation Indices","分层导航索引"
"Layered Navigation Indices was refreshed successfully","成功刷新分层导航索引"
"Layered Navigation 
Indices were refreshed successfully","成功刷新分层导航索引"
"Layered Navigation indexing queue cancelled","分层导航索引队列已取消"
"Layered Navigation indexing queued","分层导航索引进入队列"
"Layered Navigation process queued to be killed","分成导航进程进入终止队列"
"Leave empty to use tax identifier","放空则使用税率标识符"
"Level","水平"
"License","许可"
"License URI","许可 URI"
"License:","许可："
"Lifetime Sales","累计订单金额"
"Links","链接"
"List (default) / Grid","单栏(缺省)/多栏"
"List only","仅单栏"
"Load Template","加载模板"
"Load default template","加载缺省模板"
"Load local Package","加载本地安装包"
"Loading...","加载中..."
"Local Server","本地服务器"
"Local/Remote Server","本地/远程服务器"
"Locale","语言"
"Log Out","退出"
"Log in to Admin Panel","登录管理面板"
"Log into Magento Admin Page","登录 Magento 管理页面"
"Logged in as %s","登录用户 %s"
"Login","登录"
"MAJOR","重要"
"MINOR","次要"
"MS Excel XML","微软 Excel XML"
"Magento Admin","Magento 管理"
"Magento Commerce - Administrative Panel","Magento Commerce - 管理面板"
"Magento Connect","Magento 连接"
"Magento Connect Manager","Magento 连接管理器"
"Magento Logo","Magento 标志"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento 是 Irubin Consulting Inc. DBA Varien 的注册商标。版权所有 &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento 版本 %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; 是 Irubin Consulting Inc. DBA Varien 的注册商标。<br/>版权所有 &copy; %s Irubin Consulting Inc."
"Maintainers","维护"
"Manage Currency Rates","管理货币汇率"
"Manage Customers","管理客户"
"Manage Installed Extensions","管理已安装插件"
"Manage Ratings","管理评价"
"Manage Stores","管理商店"
"Manage osCommerce Orders","管理 osCommerce 订单"
"Manage osCommerce Profiles","管理 osCommerce 配置文件"
"Matched expression","匹配表达式"
"Max","最多"
"Maximum","最多"
"Mb","Mb"
"Media (.avi, .flv, .swf)","多媒体 (.avi, .flv, .swf)"
"Merge Now","现在合并"
"Messages Inbox","信息收件箱"
"Min","最少"
"Minimum","最少"
"Month","月份"
"Most Viewed Products","被关注最多的商品"
"Multiple Select","多选"
"My Account","我的帐户"
"N/A","无"
"NOTICE","通告"
"Name","姓名"
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s"
"Name:","姓名:"
"New Accounts","新建帐号"
"New Api Key","新 Api 密钥"
"New Customers","新客户"
"New Email Template","新的邮件模板"
"New Extension","新的插件"
"New Item Type","新记录类型"
"New Password","新的密码"
"New Profile","新建配置文件"
"New Store View","新建商店界面"
"New System Template","新建系统模板"
"New Tag","新建标签"
"New Template","新建模板"
"New User","新建用户"
"New Website","新建网站"
"New admin password","新的管理员密码"
"Next month (hold for menu)","下一月 （按住弹出菜单）"
"Next page","下一页"
"Next year (hold for menu)","下一年 （按住弹出菜单）"
"No","否"
"No (price without tax)","否(价格不含税)"
"No Data Found","没有数据"
"No Extensions Found","没有找到插件"
"No Templates Found","没有找到模板"
"No change","不做更改"
"No profile","没有配置文件"
"No profile loaded...","没有加载配置文件..."
"No records found for this period.","该时间段内没有找到记录。"
"No records found.","没有数据"
"No search keywords.","没有搜索关键词。"
