"(Make sure you keep it in a safe place.)","(请保存在安全的地方。)"
"(Optional. Leave blank for no prefix)","(可选，留空为不要前缀)"
"(ver. %s)","(版本 %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","添加于基准 URL 之后的路径，用于访问您的管理面板（例如, admin, backend, control 等）"
"Admin Path","管理路径"
"After successfull installation please click the button below.","成功安装后，请点下面的按钮。"
"All packages were installed successfully, click 'Ok' to continue with installation","所有安装包已成功安装，点击'Ok'继续安装"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","您也可以试试'手工下载和升级'。"
"Base URL","基准网址"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","在转到您的商店前，请记下您的密钥(Magento用于加密密码、信用卡号等)。"
"Check out our","看看"
"Check this box only if it is not possible to automatically validate Base URL.","仅在无法自动检验基准 URL 时选择此项。"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","仅当无法自动校验安全网址时，才选择该方框。例如，如果需要HTTP认证。"
"Choose this if you would like to test frontend and backend functionality.","如果您想测试前台和后台功能，选择该项。"
"Configuration","配置"
"Confirm Password","确认密码"
"Connection","连接"
"Continue","继续"
"Continue After Manual Download","下载文档后继续"
"Continue Full Download / SVN Installation","完整下载/ SVN 安装"
"Create Admin Account","创建管理员帐号"
"Currently this is the most stable state available for Magento packages.","这是目前最稳定的Magento安装包。"
"Database","数据库"
"Database Connection","数据库连接"
"Database Name","数据库名"
"Database connection error","数据库连接错误"
"Database host","数据库主机"
"Database server does not support InnoDB storage engine","数据库服务器不支持InnoDB存储引擎"
"Database server version does not match system requirements (required: %s, actual: %s)","数据库服务器版本不符合系统需求（要求版本：%s,当前版本：%s）"
"Database user name","数据库用户名"
"Database user password","数据库密码"
"Default Currency","缺省货币"
"Download","下载"
"Download Magento Core Modules and Updates","下载Magento核心模块并更新"
"Downloading and installing Magento, please wait...","正在下载和安装Magento，请稍候..."
"Email","电子邮件"
"Email Address","电子邮件地址"
"Enable this option only if you have SSL available.","仅当您有SSL时，打开该选项。"
"Encryption Key","密钥"
"File system","文件系统"
"First Name","名字"
"Full Download / SVN Installation","完全下载 / SVN 安装"
"Get ready to experience Open-Source eCommerce Evolved.","准备好体验开源电子商务。"
"Go to Backend","转到后台"
"Go to Frontend","转到前台"
"Having trouble installing Magento?","安装Magento有问题吗？"
"Help Us to Keep Magento Healthy","帮助我们改善Magento"
"Host","主机"
"I agree to the above terms and conditions","我同意以上条款"
"If you are a developer and would like to have the latest public updates, choose this option.","如果您是程序员，希望获得最新更新，请选择该项"
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","如果以CGI方式运行PHP，您的PHP进程用户可能于您上传Magento文件的用户名一样。"
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","如果您是在之前安装的Magento基础上运行安装向导，请选择本方式。"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","如果您不希望或无法设置Magento目录可从网络写入，也可以使用Magento安装根目录下的PEAR可执行程序。"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","如果您下载了完全版，或通过SVN安装Magento，请点下面的按钮跳过包安装和验证。"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","如果希望通过网页管理Magento安装包，所有Magento目录和文件权限都必须设置网页可写权限。"
"If your server is running on MS Windows, most probably you will not need to change anything.","如果您使用MS Windows服务器，通常不需要任何修改。"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","否则需要修改Magento文件，允许网站访问者帐户写入。"
"Installation","安装"
"Installation Guide","安装指南"
"Last Name","姓氏"
"License Agreement","授权协议"
"Locale","语言"
"Locale settings","语言设置"
"Localization","本地化"
"Login Information","登录信息"
"Magento","Magento"
"Magento Installation Wizard","Magento 安装向导"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento 是 Irubin Consulting Inc. DBA Varien 的注册商标。版权所有 &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento 使用该密钥加密密码、信用卡及其它信息。如果该栏目留空，系统将自动生成密钥，并在下个页面显示。"
"Manual Downloads and Upgrades","手工下载和升级"
"One from PHP Extensions ""%s"" must be loaded","PHP的扩展""%s""没有加载"
"PHP Extension ""%s"" must be loaded","PHP的扩展""%s""没有加载"
"PHP Extension '%s' loaded","PHP的扩展'%s'已加载"
"Package Management through the Web","通过网页管理安装包"
"Password","密码"
"Password Confirmation","密码确认"
"Path ""%s"" must be writable","路径""%s""必须可写"
"Personal Information","个人信息"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","请确认<code>mod_rewrite</code>已在Apache配置中打开。"
"Please note that it is much less stable than beta.","请注意这比Beta版本更不稳定。"
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","请注意目前仅支持UNIX、Linux和Mac OSX 命令行，Windows 请用'%s'选项。"
"Please set all required settings before clicking Continue","点继续前请设置好所有必须的选项"
"Preferred stability: %s","希望的稳定性：%s"
"Proceed With Automatic Download (%s)","继续自动下载(%s)"
"Provide a complete base URL for SSL connection. For example: %s","提供SSL链接的完整的基准网址。例如：%s"
"Report All Bugs","报告所有错误"
"Required Fields","必填栏目"
"Run admin interface with SSL","管理界面采用SSL"
"Run this in your shell from Magento root folder:","在Magento的根目录，从命令行运行："
"Save session data in","将会话数据保存在"
"Save session files in","将会话文件保存在"
"Secure Base URL","安全基准网址"
"Session storage options","会话存储选项"
"Setting preferred state to: %s","设置首选省份为：%s"
"Skip Base URL validation before next step","进行下一步前，忽略基准网址校验"
"Skip Secure URL validation before next step","进行下一步前，忽略安全网址校验"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","表前缀只能含字母(a-z)、数字(0-9)或下划线(_)，首字符必须是字母"
"Tables Prefix","数据表前缀"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","安装Magento时出错，请查看日志文件，修正错误后重试。"
"This Url is invalid","网址不正确"
"Time Zone","时区"
"Url ""%s"" is invalid","网址""%s""不正确"
"Url ""%s"" is not accessible","网址""%s""不正确"
"Use Secure URLs (SSL)","使用安全网址(SSL)"
"Use Web Server (Apache) Rewrites","使用服务器(Apache)网址重写"
"User Name","用户名"
"User Password","用户密码"
"Username","用户名"
"Web access options","网页访问选项"
"Welcome to Magento's Installation Wizard","欢迎使用Magento安装向导"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","您可以指定服务器端口，例如：localhost:3307<br />如果您不使用默认 UNIX 套接字，您可以在这里设定 UNIX 套接字（代替主机设定），例如：/var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","可以打开这个选项，使用服务器网址重写，加强搜索引擎优化。"
"You're All Set","全部完成"
"You're All Set!","全部完成"
