"* Required Fields","* 必填栏目"
"Comment","内容"
"Contact Form","联系表单"
"Contact Information","联系信息"

"Contact Us","联系我们"
"Contacts","联系人"
"Contacts Section","联系单元"
"Email","电子邮件"
"Email Options","电子邮件选项"
"Email Sender","发件人"
"Email Template","电子邮件模板"
"Enable Contact Us","启用联系我们"
"Name","姓名"
"Send Emails To","发送邮件给"
"Submit","提交"
"Telephone","电话"
"Unable to submit your request. Please, try again later","无法提交您的问题，请稍后重试。"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的问题已提交，我们会尽快回复您。感谢您联系我们！"
"You can contact us by e-mail at any time.Please provide the following information. Our representatives will answer your inquiry as quickly as possible.","您可以通过email联系我们,请提供有效信息,我们的客户服务代表会第一时间反馈您的问题."